"timestamp","action","added"
"2018-11-25 18:59:58","New companies added","Ally Auto Receivables Trust 2017-3; BMW Vehicle Owner Trust 2018-A; California Republic Auto Receivables Trust 2017-1; California Republic Auto Receivables Trust 2018-1; California Republic Funding LLC; CD 2017-CD6 Mortgage Trust; CD 2018-CD7 Mortgage Trust; CFCRE 2016-C7 Mortgage Trust; CFCRE 2017-C8 Mortgage Trust; CITIGROUP COMMERCIAL MORTGAGE SECURITIES INC; CITIGROUP COMMERCIAL MORTGAGE TRUST 2016-P6; CITIGROUP COMMERCIAL MORTGAGE TRUST 2017-B1; CITIGROUP COMMERCIAL MORTGAGE TRUST 2017-C4; CITIGROUP COMMERCIAL MORTGAGE TRUST 2017-P7; CITIGROUP COMMERCIAL MORTGAGE TRUST 2017-P8; Ford Credit Auto Lease Trust 2018-A; Ford Credit Auto Lease Two LLC; CSAIL 2018-C14 Commercial Mortgage Trust; DBGS 2018-C1 Mortgage Trust; Ford Credit Auto Lease Trust 2018-B; Ford Credit Auto Owner Trust 2018-B; VOLKSWAGEN AUTO LEASE/LOAN UNDERWRITTEN FUNDING, LLC; Volkswagen Auto Loan Enhanced Trust 2018-1; WELLS FARGO COMMERCIAL MORTGAGE SECURITIES INC; Wells Fargo Commercial Mortgage Trust 2016-C37; Toyota Auto Receivables 2018-D Owner Trust; Volkswagen Auto Loan Enhanced Trust 2018-2"
"2018-11-25 19:03:36","New companies added","Ally Auto Receivables Trust 2017-3; BMW Vehicle Owner Trust 2018-A; California Republic Auto Receivables Trust 2017-1; California Republic Auto Receivables Trust 2018-1; California Republic Funding LLC; BMW Vehicle Lease Trust 2018-1; CARMAX AUTO FUNDING LLC; CD 2017-CD6 Mortgage Trust; CD 2018-CD7 Mortgage Trust; CFCRE 2016-C7 Mortgage Trust; CFCRE 2017-C8 Mortgage Trust; CITIGROUP COMMERCIAL MORTGAGE SECURITIES INC; CITIGROUP COMMERCIAL MORTGAGE TRUST 2016-P6; CITIGROUP COMMERCIAL MORTGAGE TRUST 2017-B1; CITIGROUP COMMERCIAL MORTGAGE TRUST 2017-C4; CITIGROUP COMMERCIAL MORTGAGE TRUST 2017-P7; CITIGROUP COMMERCIAL MORTGAGE TRUST 2017-P8; CSAIL 2018-C14 Commercial Mortgage Trust; DBGS 2018-C1 Mortgage Trust; Santander Drive Auto Receivables Trust 2017-1; VOLKSWAGEN AUTO LEASE/LOAN UNDERWRITTEN FUNDING, LLC; Volkswagen Auto Loan Enhanced Trust 2018-1; WELLS FARGO COMMERCIAL MORTGAGE SECURITIES INC; Wells Fargo Commercial Mortgage Trust 2016-C37; Toyota Auto Receivables 2018-D Owner Trust; Volkswagen Auto Loan Enhanced Trust 2018-2"
"2018-11-25 19:07:50","New companies added: 13","GM Financial Consumer Automobile Receivables Trust 2018-1; GM Financial Consumer Automobile Receivables Trust 2018-2; GM Financial Consumer Automobile Receivables Trust 2018-3; GMF Leasing LLC; GS MORTGAGE SECURITIES CORP II; GS Mortgage Securities Trust 2017-GS5; GM Financial Consumer Automobile Receivables Trust 2018-4; Morgan Stanley Capital I Trust 2018-H3; Nissan Auto Lease Trust 2017-A; Nissan Auto Lease Trust 2017-B; NISSAN AUTO LEASING LLC II; Morgan Stanley Capital I Trust 2018-L1; Nissan Auto Lease Trust 2018-A"
"2018-11-25 19:09:41","New companies added: 4","Ford Credit Auto Lease Trust 2018-A; Ford Credit Auto Lease Trust 2018-B; Ford Credit Auto Lease Two LLC; Ford Credit Auto Owner Trust 2018-B"
"2018-11-25 19:21:42","Nothing added",""
"2018-11-25 21:27:37","Nothing added",""
"2018-11-26 02:32:43","Nothing added",""
"2018-11-26 02:34:00","Nothing added",""
"2018-11-26 02:43:56","Nothing added",""
"2018-11-26 02:50:03","Nothing added",""
"2018-11-26 02:51:03","Nothing added",""
"2018-11-26 02:52:03","Nothing added",""
"2018-11-26 02:53:02","Nothing added",""
"2018-11-26 02:54:03","Nothing added",""
"2018-11-26 02:55:03","Nothing added",""
"2018-11-26 02:56:02","Nothing added",""
"2018-11-26 02:57:03","Nothing added",""
"2018-11-26 02:58:02","Nothing added",""
"2018-11-26 02:59:03","Nothing added",""
"2018-11-26 03:00:03","Nothing added",""
"2018-11-26 03:01:03","Nothing added",""
"2018-11-26 03:02:02","Nothing added",""
"2018-11-26 03:03:03","Nothing added",""
"2018-11-26 03:04:02","Nothing added",""
"2018-11-28 03:47:25","Nothing added",""
"2018-12-01 21:12:58","Nothing added",""
"2018-12-01 21:26:02","Nothing added",""
"2018-12-01 21:27:03","Nothing added",""
"2018-12-02 00:00:05","Nothing added",""
"2018-12-03 00:00:05","Nothing added",""
"2018-12-04 00:00:07","New companies added: 2","0001757928; 000850779/"
"2018-12-05 00:00:07","New companies added: 4","0001759384; 0001758901; 0001757928; 000850779/"
"2018-12-06 00:00:07","New companies added: 4","0001759384; 0001758901; 0001757928; 000850779/"
"2018-12-07 00:00:07","New companies added: 4","0001759384; 0001758901; 0001757928; 000850779/"
"2018-12-08 00:00:06","New companies added: 2","0001759384; 0001758901"
"2018-12-09 21:55:07","Nothing added",""
"2018-12-09 21:56:08","Nothing added",""
"2018-12-09 22:08:27","New companies added: 1","0001757928"
"2018-12-10 03:54:18","Nothing added",""
"2018-12-13 23:32:19","No sources added; No companies added",""
"2018-12-13 23:33:50","No sources added; No companies added",""
"2018-12-14 04:34:43","No sources added; No companies added",""
"2018-12-15 00:00:06","No sources added; No companies added",""
"2018-12-16 00:00:06","No sources added; No companies added",""
"2018-12-17 00:00:05","No sources added; No companies added",""
"2018-12-17 23:36:35","New sources added: 42; No companies added",""
"2018-12-18 00:00:06","No sources added; No companies added",""
"2018-12-19 00:00:13","New sources added: 17; No companies added",""
"2019-01-05 00:00:27","New sources added: 48; No companies added",""
"2019-01-06 00:00:05","Nothing added",""
"2019-01-07 00:00:05","Nothing added",""
"2019-01-08 00:00:08","Nothing added",""
"2019-01-12 00:00:06","Nothing added",""
"2019-01-13 00:00:05","Nothing added",""
"2019-01-14 00:00:05","Nothing added",""
"2019-01-16 21:36:14","New sources added: 46; No companies added",""
"2019-01-17 02:40:54","No sources added; No companies added",""
"2019-01-19 00:00:10","New sources added: 12; No companies added",""
"2019-01-20 00:00:06","No sources added; No companies added",""
"2019-01-21 00:00:07","No sources added; No companies added",""
"2019-01-22 00:00:06","No sources added; No companies added",""
"2019-01-31 21:52:29","New sources added: 67; New companies added: 6","0001762228; 0001762228; 0001764987; 0001764987; 0001763799; 0001763333"
"2019-01-26 00:00:27","New sources added: 67; No companies added",""
"2019-01-27 00:00:08","New sources added: 2; No companies added",""
"2019-01-28 00:00:07","No sources added; No companies added",""
"2019-02-02 00:00:26","New sources added: 57; New companies added: 2","0001760337; 0001758882"
"2019-02-02 16:45:40","New sources added: 2; No companies added",""
"2019-02-03 21:37:17","No sources added; No companies added",""
"2019-02-04 00:00:07","No sources added; No companies added",""
"2019-02-05 00:00:12","No sources added; No companies added",""
"2019-02-06 00:00:11","New sources added: 2; New companies added: 1","0001763499"
"2019-02-07 00:00:08","New sources added: 2; No companies added",""
"2019-02-08 00:00:10","New sources added: 4; New companies added: 2","0001763207; 0001765910"
"2019-02-09 00:00:07","New sources added: 2; No companies added",""
"2019-02-10 00:00:06","No sources added; No companies added",""
"2019-02-11 00:00:06","No sources added; No companies added",""
"2019-02-12 00:00:12","New sources added: 2; New companies added: 1","0001763501"
"2019-02-13 00:00:13","No sources added; No companies added",""
"2019-02-17 00:00:20","New sources added: 49; New companies added: 3","0001763502; 0001762278; 0001763174"
"2019-02-18 00:00:07","No sources added; No companies added",""
