name,source,target
ABS: Automated web scraping pipeline for SEC reports,1,11
NRGI: IMF Forecast Tracker,2,13
NRGI: PDF Table Extractor,3,13
Iron Dome: A d3.js game,4,12
PWYPUS: Gulf of Mexico Lease and Production Explorer,6,12
EIA Data: Energy Deregulation,7,11
Interactive Emissions Graph,9,12
CFPB Data: Payday loan complaints,10,11
NRGI: IMF Forecast Tracker,2,11
EDGAR Asset Backed Security Data Pipeline,1,14
NRGI: Azerbaijan Budget Data Analysis,15,11
NRGI: Azerbaijan Budget Data Analysis,15,12
ABS: Intro,16,11
ABS: Delinquency in 1.7 million loans,17,11
ABS: Independent Report Generation,18,14
ABS: Independent Report Generation,18,11
