Date,Connecticut,Maine,Massachusetts,NewHampshire,RhodeIsland,Vermont,Delaware,Maryland,NewJersey,NewYork,Pennsylvania,Florida,Georgia,NorthCarolina,SouthCarolina,Virginia,WestVirginia,Illinois,Indiana,Iowa,Kansas,Kentucky,Michigan,Minnesota,Missouri,Nebraska,NorthDakota,Ohio,Oklahoma,SouthDakota,Tennessee,Wisconsin,Alabama,Arkansas,Louisiana,Mississippi,NewMexico,Texas,Colorado,Idaho,Montana,Utah,Wyoming,Alaska,Arizona,California,Hawaii,Nevada,Oregon,Washington
1984-06-30,897.195,394.903,1578.42,231.764,239.347,178.814,166.355,878.244,1929.961,2854,2541.703,1293.551,1036.551,1190.354,511.348,1168.008,486.225,1678.008,1369.851,688.041,644.368,998.172,1107.728,836.868,814.938,527.955,336.25,1579.016,801.487,223.544,1023.956,1019.2,630.772,550.334,1172.112,542.959,277.945,3668.816,439.14,226.876,355.045,272.102,279.92,345.171,414.858,3309.692,119.084,234.513,672.428,794907
1985-06-30,851.69,426.355,1458.451,236.766,203.363,188.077,151.001,786.447,1788.481,2766.365,2347.78,1308.48,1007.327,1082.866,507.742,1091.35,431.375,1359.957,1275.187,649.422,609.259,906.538,1080.117,820.558,819.457,509.111,313.651,1510.502,768.316,211.364,930.261,948.522,602.178,533.247,1099.725,553.612,303.233,3335.565,379.186,217.837,430.059,235.443,298.009,411.822,410.343,2942.938,188.089,218.366,619.215,824567
1986-06-30,947.517,522.866,1606.212,265.86,245.186,180.749,147.973,789.849,2085.318,3258.452,2413.024,1399.03,1055.469,1220.064,509.73,1259.786,337.129,1500.949,1346.226,685.534,598.955,869.063,1152.16,820.983,783.869,508.458,319.889,1525.668,587.36,264.144,950.821,945.057,627.576,507.161,1207.835,543.406,358.974,3129.891,409.722,238.53,280.863,300.566,275.48,338.923,467.563,3162.742,198.024,233.812,623.867,989125
1987-06-30,969.746,542.078,1701.911,348.002,277.753,197.759,179.705,799.174,1967.546,3327.374,2569.614,1435.259,1110.63,1249.059,516.634,1292.536,395.705,1475.64,1348.053,680.546,700.519,880.375,1106.159,797.899,830.915,520.436,295.109,1433.544,590.008,260.005,957.773,916.27,665.738,489.074,1102.045,547.522,362.186,2907.813,387.839,248.339,256.091,268.243,346.661,298.029,411.645,2815.85,155.364,250.218,619.053,799541
1988-06-30,1059.052,627.05,1660.522,314.984,277.252,213.055,173.344,812.606,2077.454,3468.143,2636.18,1511.962,1199.08,1393.036,550.915,1459.236,397.251,1436.477,1215.244,683.668,697.397,1048.07,1193.926,856.779,899.422,586.714,289.388,1568.092,628.127,268.091,986.638,1034.341,741.394,516.794,1203.045,622.574,360.304,2899.763,446.506,257.514,251.77,294.032,379.456,354.283,426.155,3435.959,236.478,272.814,664.819,847714
1989-06-30,1192.619,570.529,1845.647,355.744,276.865,214.849,190.686,926.298,2039.025,3500.894,2791.619,1506.48,1219.807,1200.013,550.822,1307.754,457.784,1544.425,1472.196,676.545,696.792,1259.451,1148.997,896,977.602,561.016,328.26,1703.534,647.317,255.015,1031.648,1119.367,924.936,566.118,1269.939,613.082,348.395,3155.148,425.36,284.182,318.045,256.759,407.959,476.883,480.906,3497.88,248.444,319.239,696.206,901637
1990-06-30,1002.829,577.381,1684.494,313.571,231.635,197.923,151.998,798.64,1668.455,3188.155,2547.994,1541.498,1254.019,1133.948,647.413,1308.437,458.651,1870.262,1429.186,682.94,723.468,1055.193,1068.185,849.07,918.513,557.585,312.696,1635.368,672.659,256.315,1062.985,1057.905,938.993,549.554,1304.278,574.615,348.641,2946.627,438.278,306.746,314.738,310.542,403.685,454.155,487.783,3341.731,275.557,295.441,687.133,874807
1991-06-30,944.354,490.919,1572.612,312.652,242.152,201.785,157.657,775.12,1548.301,2865.258,2443.42,1377.077,1176.068,1070.875,689.834,1223.897,441.764,1523.412,1366.108,613.014,661.14,958.273,1060.962,896.377,853.995,549.251,312.29,1508.738,596.424,246.457,948.462,974.945,899.034,527.091,1201.394,570.635,357.332,3083.485,444.252,314.47,305.464,297.435,330.577,417.167,432.833,3181.248,308.477,301.666,682.758,845403
1992-06-30,1083.563,526.409,1714.133,322.693,261.153,239.853,151.061,845.887,1613.569,3143.476,2573.19,1573.891,1197.651,1163.044,608.266,1214.165,437.348,1548.079,1358.418,695.885,644.86,1094.052,1090.88,923.511,947.255,599.98,299.822,1626.559,691.927,237.397,1020.64,966.805,930.873,594.811,1110.542,571.095,374.795,3307.69,476.861,276.537,294.967,314.879,357.57,512.265,493.718,3000.408,255.352,334.001,700.987,847187
1993-06-30,1007.708,580.879,1666.776,305.092,251.308,241.163,158.616,875.494,1528.775,3154.139,2725.318,1060.421,1340.723,1157.353,591.38,1246.519,477.395,1623.985,1405.324,725.237,696.268,1197.519,1222.78,906.037,956.576,603.029,320.76,1692.669,699,266.598,1010.302,1054.179,916.441,633.469,1344.284,580.575,329.782,3567.36,517.939,311.057,316.762,322.002,402.391,554.13,614.564,2832.259,251.558,397.546,732.292,824823
1994-06-30,963.121,642.07,1667.941,324.993,283.704,234.958,157.89,882.123,1715.53,3139.465,2860.91,1495.603,1362.032,1272.391,672.163,1314.274,501.707,1378.101,1466.877,754.453,643.464,1150.442,1211.34,967.069,1011.857,640.551,338.131,1770.515,714.56,285.59,1023.794,1064.785,1033.665,703.682,1529.012,625.833,297.21,3608.799,521.445,317.822,322.123,336.262,392.098,509.722,607.413,3176.116,267.85,407.03,738.568,1002068
1995-06-30,937.093,650.75,1627.812,331.669,261.88,235.39,145.608,844.141,1452.526,3044.266,2707.3,1726.331,1513.743,1385.389,644.343,1327.628,494.766,1561.274,1474.424,779.188,800.834,1203.35,1217.182,1016.437,1059.136,643.636,353.124,1768.769,736.444,274.409,1130.882,1035.109,1044.816,756.912,1620.875,620.903,223.032,3884.79,537.499,334.535,353.01,372.8,452.66,575.014,665.626,3225.802,266.648,386.778,730.347,930904
1996-06-30,960.417,649.888,1483.248,339.803,258.943,248.538,161.547,930.794,1515.222,3085.052,2637.466,1659.994,1759.135,1413.037,656.326,1529.269,396.646,1613.887,1511.18,856.619,718.638,1199.043,1261.334,1047.298,1174.791,722.864,360.8,1910.309,863.812,283.909,1163.576,1083.712,1026.297,733.524,1862.86,645.913,436.426,4196.462,541.926,349.041,348.174,379.742,456.529,523.67,753.859,3200.343,223.041,479.765,699.057,963745
1997-06-30,961.829,638.728,1490.455,340.549,289.459,231.347,143.11,850.718,1520.999,3031.593,2569.044,1804.62,1565.764,1417.539,692.447,1551.657,457.823,1640.961,1615.545,848.867,710.552,1217.943,1301.707,1029.11,1246.087,732.324,348.314,2049.796,910.045,265.644,1169.89,1087.051,999.333,782.417,1922.627,724.875,469.264,4269.27,514.913,368.876,391.019,433.944,491.411,550.63,777.73,3458.448,202.022,434.158,723.438,1046756
1998-06-30,872.827,669.989,1422.002,366.356,244.151,224.775,136.707,897.453,1486.504,2775.706,2512.902,1915.008,1626.308,1461.01,800.933,1564.514,540.959,1796.635,1620.944,876.313,694.02,1228.75,1317.113,1078.517,1566.842,817.535,346.648,2013.443,952.459,255.714,1223.96,1096.54,973.016,823.479,1802.172,744.716,498.369,4663.91,634.292,343.129,343.578,456.838,487.699,541.703,817.764,3443.604,196.001,404.224,700.719,956806
1999-06-30,974.942,660.87,1434.621,391.841,241.742,238.603,146.605,961.385,1592.589,3096.749,2754.369,2038.442,1779.807,1385.146,800.151,1580.557,525.061,1915.6,1763.324,867.048,695.57,1214.897,1406.217,1059.937,1591.982,788.596,333.602,2126.387,982.724,267.88,1147.469,1260.313,1062.093,795.913,1604.831,776.408,514.069,4619.702,666.322,395.826,349.791,433.885,605.825,578.491,896.984,3665.459,234.007,417.762,774.458,1076890
2000-06-30,1032.867,672.048,1618.425,413.493,239.852,226.886,183.734,979.957,1587.812,3376.053,2957.19,2072.062,1863.24,1584.039,824.344,1720.085,546.316,1884.184,1762.952,842.497,651.881,1298.737,1360.62,1087.751,1252.94,655.701,341.482,2147.806,1241.529,262.607,1207.205,1280.992,1071.461,829.56,1707.045,726.712,524.862,5035.684,682.12,397.597,353.038,464.69,554.259,506.229,870.106,4080.175,217.208,427.746,815.891,1075271
2001-06-30,1054.955,608.895,1639.782,398.483,245.629,226.584,145.409,1000.6,1593.068,3419.291,2937.662,2131.405,1949.543,1570.186,839.131,1684.272,533.806,1801.589,1417.745,853.767,664.437,1305.207,1273.553,1070.406,1275.053,605.448,376.672,2109.541,1503.414,265.664,1216.177,1349.423,992.888,891.522,1810.77,724.812,529.687,5264.204,741.824,388.926,361.513,476.248,599.06,533.019,923.059,4112.688,235.15,410.4,745.971,1016899
2002-06-30,964.95,627.439,1615.132,442.812,245.119,209.279,152.445,921.074,1558.504,3227.057,2992.012,2129.145,1803.296,1468.723,831.65,1601.735,646.371,1717.97,1822.384,848.303,706.659,1456.839,1253.403,1065.885,1266.611,600.865,353.146,2188.616,1338.042,293.314,1283.365,1298.602,968.91,938.985,1784.857,787.383,535.928,4962.421,751.798,384.189,350.767,493.736,596.605,492.975,861.55,3866.99,289.323,418.256,771.49,1071224
2003-06-30,1151.098,838.218,1695.707,449.326,285.117,232.843,155.487,965.095,1706.442,3890.033,2979.89,2349.56,1905.615,1546.144,846.499,1889.413,568.134,2082.448,2014.396,816.948,740.866,1151.355,1311.626,1096.937,1384.175,665.407,367.938,2286.153,1324.228,271.023,1436.472,1141.86,1205.815,987.678,1455.731,875.523,579.469,5126.621,786.543,374.106,346.351,523.711,637.542,482.898,906.183,3569.342,380.628,399.492,689.054,1049703
2004-06-30,1210.408,813.777,1576.948,451.084,273.63,243.902,143.652,939.456,1690.321,3957.904,3031.192,2413.852,1921.873,1530.9,923.424,1899.634,593.768,1961.933,1723.486,857.074,720.264,1266.015,1308.352,1111.84,1422.32,688.289,393.793,2354.276,954.521,273.698,1395.766,1184.25,1312.099,981.766,1385.07,887.293,593.211,5044.838,696.222,399.836,417.125,512.696,591.659,625.548,944.685,3936.183,385.873,477.157,748.864,1004641
2005-06-30,1113.738,712.137,1575.729,406.295,259.344,218.184,146.437,993.27,1679.01,3604.58,3066.048,2532.712,2130.211,1529.655,904.187,1880.164,613.864,2020.974,1837.846,862.524,760.029,1317.676,1276.446,1107.483,1383.692,683.594,410.836,2264.915,1178.441,287.008,1463.166,1144.916,1258.375,1027.966,1431.913,847.825,603.088,5377.664,736.122,428.022,481.761,573.693,593.886,563.02,1089.9,4062.814,332.054,522.775,750.127,1039301
2006-06-30,993.496,636.108,1333.111,350.727,217.393,207.256,132.329,922.376,1521.104,3086.285,2938.147,2559.308,1956.153,1453.608,893.469,1866.605,616.973,2009.417,1791.329,870.428,771.638,1337.808,1228.103,1060.714,1363.533,678.352,406.425,2262.294,1302.978,279.18,1389.458,1153.8,1224.095,964.043,1472.513,873.017,643.107,5773.207,771.901,406.533,499.689,702.239,664.193,601.168,1094.578,4046.145,275.356,565.572,763.775,1219262
2007-06-30,1004.646,654.677,1338.113,337.864,238.451,202.646,124.934,894.416,1650.152,3202.178,2924.962,2313.357,1877.394,1464.166,900.294,1818.6,606.552,2038.772,1797.54,945.366,799.779,1376.16,1218.859,1124.468,1416.469,710.871,491.537,2392.49,1398.102,320.995,1467.222,1158.209,1203.82,993.651,1346.351,943.868,643.787,5973.542,812.123,413.091,573.264,655.731,672.495,579.626,1087.428,4081.853,390.488,553.932,778.48,1256591
2008-06-30,986.334,615.531,1322.358,342.299,216.27,189.775,110.857,843.75,1534.948,3130.979,3296.658,2168.344,1658.61,1311.64,847.622,1673.305,620.862,2065.387,1731.78,988.531,861.797,1333.703,1162.973,1141.197,1292.276,704.166,509.968,2319.497,1513.913,308.949,1330.348,1174.327,1133.787,1100.173,1398.789,915.289,603.124,6072.422,854.025,369.358,553.085,603.565,705.976,574.367,1118.395,3879.315,231.226,501.708,804.517,1291981
2009-06-30,902.311,541.591,1194.54,302.663,227.907,195.914,122.74,802.54,1211.959,2641.858,2382.288,1840.1,1510.385,1264.12,761.956,1371.715,513.929,1777.149,1417.072,907.248,791.889,1182.119,1042.146,942.921,1209.966,662.445,395.03,1971.025,1199.552,295.05,1112.301,949.652,987.571,888.861,1514.474,835.855,509.709,5329.79,764.242,343.889,470.498,523.744,596.52,612.399,977.532,3575.712,253.598,477.649,754.226,1006284
2010-06-30,851.776,506.153,1309.838,278.2,219.567,186.798,106.056,841.818,1210.307,2453.956,2490.891,2027.012,1596.535,1290.771,831.936,1351.578,533.293,1763.222,1484.714,962.378,772.082,1195.223,1070.452,1021.368,1263.254,823.981,524.765,2080.845,1223.162,303.869,1192.785,961.588,1038.133,950.119,1744.771,800.065,554.352,5693.27,780.261,411.304,398.775,513.827,614.074,573.837,1011.322,3703.234,281.545,471.49,773.848,998764
2011-06-30,800.169,525.592,1230.336,286.365,201.519,191.757,98.591,776.64,1327.793,2422.136,2524.048,1914.621,1535.409,1245.127,817.635,1299.064,528.789,1868.105,1555.026,965.403,744.38,1250.277,1070.84,1060.453,1243.105,779.971,728.574,2080.346,1228.126,319.822,1195.149,947.515,1094.359,928.595,1873.769,771.577,574.557,6373.078,774.069,419.742,422.845,619.535,620.774,594.62,1047.834,3752.335,235.767,380.246,765.047,1039715
