assetNumber,remainingTermToMaturityNumber,reportingPeriodBeginningDate,originalLoanAmount,originalLoanTerm,originalInterestRatePercentage,reportingPeriodActualEndBalanceAmount
6346004,21,2019-02-01,25727.11,72,0.1941,19186.92
6346198,10,2019-02-01,21994.14,72,0.1377,4436.36
10389186,21,2019-02-01,16976.48,72,0.1411,8471.33
10395890,23,2019-02-01,14936,72,0.18,8133.31
10396495,19,2019-02-01,17695.16,72,0.2295,6431.14
10397477,6,2019-02-01,26914.78,60,0.1496,2958.63
10405254,24,2019-02-01,17599.98,72,0.1678,9311.69
10409516,26,2019-02-01,31150.31,72,0.1369,19616.53
10409384,24,2019-02-01,18036.72,72,0.1583,9507.13
10415703,23,2019-02-01,23407.3,72,0.18,12423.84
10419768,18,2019-02-01,22707.5,72,0.18,7654.85
10420916,26,2019-02-01,16374.5,72,0.2018,10411.84
10418875,19,2019-02-01,20371.94,72,0.135,6280.14
10630392,23,2019-02-01,25808.15,72,0.1476,14169.09
10631282,22,2019-02-01,23535.4,72,0.1678,11113.14
10627390,29,2019-02-01,19530.46,72,0.1614,15433.37
10632297,29,2019-02-01,24204.08,72,0.1445,17881.67
10640391,19,2019-02-01,21586.75,72,0.1306,7942.2
10634859,19,2019-02-01,13400.5,72,0.21,5371.08
10654954,25,2019-02-01,15086.75,72,0.1699,9263.01
10651025,21,2019-02-01,22142.87,72,0.1259,8738.25
10660982,27,2019-02-01,18321.2,72,0.1672,13307.89
10662447,23,2019-02-01,16514.89,72,0.18,7947.16
10666517,23,2019-02-01,14698.43,72,0.1859,9076.44
10666654,29,2019-02-01,32634.7,75,0.1275,20597.2
10682904,25,2019-02-01,11315.79,72,0.1239,6299.69
10680936,28,2019-02-01,21295,72,0.1234,13491.26
10695821,20,2019-02-01,40350.18,72,0.1439,14906.5
10642772,22,2019-02-01,34065.45,72,0.1085,15876.96
10714816,10,2019-02-01,11772.92,60,0.0887,2911.3
10700934,24,2019-02-01,12178,72,0.1258,5029.4
10720830,29,2019-02-01,27800.21,72,0.1406,20245.68
10715222,23,2019-02-01,19588.1,72,0.21,12708.12
10789869,26,2019-02-01,53510.99,72,0.18,34307.55
10799282,27,2019-02-01,17881.25,72,0.2599,14261.95
10932939,24,2019-02-01,17117.8,72,0.21,5681.07
10970201,30,2019-02-01,15894.01,72,0.25,14125.61
10995033,34,2019-02-01,25578.91,75,0.18,19619.77
12293396,31,2019-02-01,19758.86,72,0.18,16116.49
12302200,29,2019-02-01,27619.86,72,0.241,21107.71
12310801,32,2019-02-01,23116.27,72,0.1772,16000.1
12343899,31,2019-02-01,10600,72,0.2799,9792.74
12340044,31,2019-02-01,14177.56,72,0.2799,12329.01
10973120,34,2019-02-01,22033,75,0.18,16959.39
12423967,36,2019-02-01,21899.35,72,0.1482,18320.63
12427437,14,2019-02-01,13799.42,60,0.2315,4270.97
12442538,27,2019-02-01,13154.95,72,0.2644,7935.38
12449914,34,2019-02-01,25830.75,72,0.1573,21079.4
12466704,34,2019-02-01,19389.64,72,0.2,17142.23
12464965,22,2019-02-01,11023.94,60,0.2686,8876.32
12465852,34,2019-02-01,12159.1,72,0.2645,12159.1
12466965,31,2019-02-01,13255.22,72,0.2348,10246.13
12470693,32,2019-02-01,21200.6,72,0.2381,16896.31
12454284,33,2019-02-01,16999.1,72,0.2307,13302.86
12454705,34,2019-02-01,9580.41,72,0.257,8554.62
12480579,15,2019-02-01,8952.54,60,0.25,3137.93
12481238,37,2019-02-01,21899,75,0.18,18029.41
12486260,35,2019-02-01,20224.99,75,0.2074,17040.8
12486767,33,2019-02-01,14467.92,72,0.2613,13787.81
12476621,14,2019-02-01,13574.88,60,0.25,4856.41
12477068,34,2019-02-01,14355.41,72,0.2799,13094.21
12502987,21,2019-02-01,14032.16,60,0.2534,10532.61
12498741,27,2019-02-01,18397.68,72,0.18,10686.4
12510117,37,2019-02-01,21970,75,0.18,18662.7
12507297,34,2019-02-01,18194.12,72,0.2355,15551.76
12511926,36,2019-02-01,24221.99,75,0.18,19799.05
12512668,28,2019-02-01,13719.5,72,0.2793,9660.19
12515317,34,2019-02-01,21900,75,0.2781,18226.22
12517055,30,2019-02-01,11446.63,72,0.2225,7654.35
12516882,38,2019-02-01,26132.69,75,0.1521,21882.64
12524429,13,2019-02-01,10446.58,60,0.2259,3743.4
12523614,28,2019-02-01,9600,72,0.241,6346.3
12525746,37,2019-02-01,24790.55,75,0.18,20642.24
12522536,13,2019-02-01,8396.25,60,0.2711,3120.86
12531961,25,2019-02-01,23523.24,72,0.1942,10861.45
12530839,31,2019-02-01,23322.68,72,0.18,16801.94
12521138,33,2019-02-01,12505.81,72,0.2324,11335.71
12538000,27,2019-02-01,16128.49,72,0.2499,9109.97
12536757,35,2019-02-01,14000,72,0.2061,11352.91
12538784,34,2019-02-01,20978.36,72,0.22,17280.32
12543378,31,2019-02-01,14000,72,0.2216,10352.38
12542152,32,2019-02-01,14938.46,72,0.2783,13595.22
12543008,32,2019-02-01,16460,72,0.2453,12265.64
12547142,36,2019-02-01,15131.25,72,0.247,14945.02
12546800,31,2019-02-01,20756.16,75,0.2126,14752.41
12551712,30,2019-02-01,23954.39,72,0.18,14350.5
12556651,34,2019-02-01,13569.09,72,0.266,13010.49
12559739,26,2019-02-01,23895.77,72,0.1989,12261.76
12563956,34,2019-02-01,12048.4,72,0.2264,10130.51
12557196,30,2019-02-01,15570.7,72,0.2518,12229.29
12567511,22,2019-02-01,11377.98,60,0.19,8573.96
12569536,33,2019-02-01,12624.97,72,0.2799,11383.22
12570413,32,2019-02-01,9850,72,0.2378,8304.97
12575238,31,2019-02-01,11762.78,72,0.2381,9688.69
12582181,20,2019-02-01,10594.06,60,0.2366,6658.28
12589587,14,2019-02-01,12508.61,60,0.1727,1692.93
12589729,34,2019-02-01,21198,72,0.2763,20449.52
12592375,34,2019-02-01,21559.33,72,0.24,20825.94
12590277,32,2019-02-01,11876.77,72,0.2645,10095.42
12598330,20,2019-02-01,7892.39,66,0.24,3537.18
12598513,33,2019-02-01,7842.82,72,0.2627,6905.94
12607696,26,2019-02-01,18836.15,72,0.17,8858.15
12607740,28,2019-02-01,18690.15,72,0.2381,12446.18
12615296,34,2019-02-01,17157.95,72,0.2468,15369.03
12616954,33,2019-02-01,16362.7,72,0.2644,13417.39
12622429,37,2019-02-01,34653.72,75,0.1199,25094.99
12578086,34,2019-02-01,11865.25,72,0.2644,11745.43
12625664,36,2019-02-01,29569.73,75,0.1163,18168.39
12625183,34,2019-02-01,13946.43,72,0.2061,12257.86
12631320,34,2019-02-01,22173.08,72,0.2482,20144.29
12632754,27,2019-02-01,13191.12,72,0.25,7936.71
12642579,34,2019-02-01,25888.13,72,0.2649,24738.27
12645123,34,2019-02-01,14189.67,72,0.2787,14189.67
12649565,33,2019-02-01,20050,72,0.241,16218.44
12646099,33,2019-02-01,17910.46,72,0.1808,13521.83
12650818,34,2019-02-01,21896.75,72,0.2525,20786.62
12648244,33,2019-02-01,17096,72,0.241,15229.05
12661676,34,2019-02-01,10500,72,0.2799,9547.12
12650164,32,2019-02-01,10627.49,72,0.2645,8371.72
12673288,36,2019-02-01,36510.26,75,0.1829,26771.68
12674973,23,2019-02-01,14794.2,60,0.25,12959.38
12680063,27,2019-02-01,15450,72,0.279,9350.67
12685458,33,2019-02-01,12979,72,0.2515,10556.53
12686669,33,2019-02-01,16611.01,72,0.2591,13628.14
12687981,31,2019-02-01,16582.57,72,0.2287,11546.65
12688593,26,2019-02-01,14146.5,72,0.27,8152.58
12696249,37,2019-02-01,25538.13,72,0.1823,23317.04
12700403,30,2019-02-01,24736.89,75,0.1515,12123.15
12702353,35,2019-02-01,9583.13,72,0.2381,9266.46
12701428,34,2019-02-01,18799.16,75,0.1754,12229.05
12704027,35,2019-02-01,21600,72,0.2061,18776.46
12713795,34,2019-02-01,16578.52,72,0.25,13738.99
12713979,40,2019-02-01,13487.55,75,0.1619,11678.19
12719137,27,2019-02-01,21171.75,72,0.2711,11692.89
12721852,36,2019-02-01,15337.14,72,0.241,14493.02
12719783,33,2019-02-01,11466.45,72,0.2798,10985.19
12728442,31,2019-02-01,19783.93,72,0.2799,15630.49
12727835,37,2019-02-01,23018,75,0.2616,20668.32
12730772,33,2019-02-01,13974.13,72,0.27,13357.51
12741118,28,2019-02-01,16580,72,0.1788,8543.72
12744127,38,2019-02-01,12293,72,0.2516,11999.67
12742104,32,2019-02-01,16946.2,72,0.259,14332.86
12748929,35,2019-02-01,13740.15,72,0.2776,12856.1
12751058,22,2019-02-01,12219.23,60,0.2799,7748.35
12765574,21,2019-02-01,13293.07,60,0.2235,8949.28
12767325,29,2019-02-01,14713.26,72,0.2676,9319.12
12764116,15,2019-02-01,10883.78,60,0.2425,4373.84
12764180,38,2019-02-01,20005.64,72,0.1678,17730.94
12770368,33,2019-02-01,15068.67,72,0.2538,13674.52
12770516,27,2019-02-01,16371.61,72,0.172,8610.7
12754066,38,2019-02-01,29825.6,72,0.168,27454.84
12775730,36,2019-02-01,19392,72,0.278,18904.75
12779471,29,2019-02-01,24387,72,0.2066,15445.02
12787777,36,2019-02-01,11668.99,72,0.2649,11402.68
12789150,31,2019-02-01,14487.34,72,0.25,10159.37
12792900,35,2019-02-01,15663,72,0.2637,14353.61
12795736,31,2019-02-01,19098.15,72,0.24,14252.7
12800238,31,2019-02-01,12045.68,72,0.2489,8577.12
12800377,33,2019-02-01,25963.59,75,0.2665,18753.65
12794766,36,2019-02-01,17638,72,0.2061,14759.09
12813078,34,2019-02-01,15498,72,0.18,11121.41
12833893,37,2019-02-01,19987.79,72,0.207,18581.62
12831877,34,2019-02-01,23406.81,72,0.18,16724.56
12838671,35,2019-02-01,14896.9,72,0.18,12645.47
12826430,32,2019-02-01,13328.1,72,0.2645,10330.7
12826625,33,2019-02-01,14435.43,72,0.2061,10829.31
12839146,35,2019-02-01,15977.88,72,0.24,14975.92
12832779,34,2019-02-01,16833.2,72,0.2477,15144.25
12840300,16,2019-02-01,12475.18,60,0.1611,2947.18
12851126,30,2019-02-01,22406,72,0.241,14226.59
12850291,33,2019-02-01,13229.17,72,0.2645,9917.17
12857974,40,2019-02-01,25262.95,75,0.18,21334.12
12863682,31,2019-02-01,31165.86,75,0.1125,15136.89
12861222,4,2019-02-01,10099.03,48,0.1382,723.49
12868334,35,2019-02-01,15091.87,72,0.2381,12710.68
12862654,30,2019-02-01,12470.52,72,0.241,7755.98
12872131,40,2019-02-01,20927.3,72,0.1823,19210.99
12871605,32,2019-02-01,10183.12,72,0.19,6322.58
12866985,34,2019-02-01,22475.97,72,0.2061,16226.32
12881819,40,2019-02-01,31220.72,75,0.187,25710.07
12882299,32,2019-02-01,15068.54,72,0.2644,11319.15
12881167,34,2019-02-01,16688.76,72,0.2381,14017.76
12884197,35,2019-02-01,11295,72,0.2466,10134.51
12887256,33,2019-02-01,32720.63,75,0.152,19357.4
12888967,35,2019-02-01,20439,72,0.18,16031.14
12895868,35,2019-02-01,22549,75,0.2075,15478.22
12890303,29,2019-02-01,15559.05,72,0.265,10079.4
12891430,36,2019-02-01,14257,72,0.2446,13158.45
12907106,36,2019-02-01,16752.5,72,0.2644,14691.68
12909698,36,2019-02-01,16346.8,72,0.2799,15113.21
12895045,29,2019-02-01,18783,72,0.19,9787.51
12895196,39,2019-02-01,19880.56,72,0.1823,19194.38
12948621,29,2019-02-01,19840.94,72,0.2186,10927.12
12870857,35,2019-02-01,12140.57,72,0.2,9844.14
13001697,29,2019-02-01,17970.25,72,0.2224,10837.8
13031023,39,2019-02-01,15762.75,72,0.2599,10008.86
12464199,31,2019-02-01,12262.14,72,0.2588,9317.04
12464368,33,2019-02-01,14800,72,0.2786,14416.32
12837422,36,2019-02-01,20091.69,72,0.1962,17550.86
13186234,22,2019-02-01,11038.55,60,0.21,1953.21
13266403,33,2019-02-01,34666.34,72,0.2432,24976.78
13274760,42,2019-02-01,33776.26,75,0.1664,27741.19
13304000,45,2019-02-01,28377.96,75,0.1389,24576.37
14215012,34,2019-02-01,14788.05,72,0.21,5389.35
14228552,33,2019-02-01,23270.72,72,0.1941,14390.45
14396314,42,2019-02-01,13962.63,72,0.18,11728.57
14406772,44,2019-02-01,29039.85,75,0.1054,22800.8
14696740,42,2019-02-01,19437.98,72,0.1897,16709.19
14754824,44,2019-02-01,16267.87,72,0.18,15089.6
14776505,35,2019-02-01,41326.13,72,0.1034,24386.03
14776654,46,2019-02-01,24178,75,0.1573,21118.35
14792595,44,2019-02-01,28947.75,75,0.1631,24360.28
14793807,44,2019-02-01,28150,72,0.159,24926.7
14800555,44,2019-02-01,21300,72,0.159,17323.76
14822992,44,2019-02-01,21300,72,0.2162,19425.81
14833470,35,2019-02-01,15845.43,72,0.1865,9763.78
14841173,36,2019-02-01,21532.03,72,0.139,12672.95
